Epoch,Time,LR,Loss,Loss_data,Loss_T_bound,Loss_NSE,Loss_EE,Loss_conti,MAE_u,MAE_v,MAE_w,MAE_T,MAE_p,COR_u,COR_v,COR_w,COR_T,COR_p
111,10.78,0.000500,0.0000071,0.0000035,0.0000362,0.0000263,0.0000311,0.0006026,0.0010848,0.0011664,0.0018288,0.0386655,0.4913490,0.9998441,0.9998197,0.9998659,0.9678509,0.2846498
112,10.81,0.000500,0.0000096,0.0000042,0.0000515,0.0000395,0.0000471,0.0009504,0.0015287,0.0015570,0.0021328,0.0398325,0.4909009,0.9996760,0.9995625,0.9997289,0.9662547,0.2845588
113,10.79,0.000500,0.0000217,0.0000118,0.0001918,0.0000702,0.0000948,0.0017652,0.0020118,0.0019167,0.0029217,0.0390820,0.4899777,0.9994816,0.9994355,0.9994262,0.9654120,0.2848940
114,10.79,0.000500,0.0000134,0.0000078,0.0001121,0.0000412,0.0000440,0.0008924,0.0017663,0.0017328,0.0021010,0.0378281,0.4908662,0.9995363,0.9995062,0.9997218,0.9682261,0.2859200
115,10.76,0.000500,0.0000181,0.0000090,0.0001317,0.0000609,0.0000959,0.0018988,0.0017309,0.0018061,0.0026353,0.0402822,0.4889493,0.9994901,0.9992751,0.9995652,0.9617600,0.2799946
116,10.79,0.000500,0.0000117,0.0000055,0.0000526,0.0000449,0.0000536,0.0010549,0.0013814,0.0014224,0.0021772,0.0412982,0.4896083,0.9997174,0.9996371,0.9997694,0.9629227,0.2801855
117,10.77,0.000500,0.0000091,0.0000042,0.0000583,0.0000353,0.0000509,0.0008812,0.0013703,0.0013006,0.0017003,0.0404729,0.4897607,0.9997208,0.9997172,0.9998297,0.9646076,0.2810059
118,10.75,0.000500,0.0000108,0.0000046,0.0000405,0.0000454,0.0000519,0.0011437,0.0017369,0.0014537,0.0022434,0.0409099,0.4899887,0.9995869,0.9995569,0.9996740,0.9636769,0.2798612
119,10.77,0.000500,0.0000107,0.0000057,0.0000714,0.0000362,0.0000460,0.0008532,0.0013521,0.0013083,0.0020899,0.0395011,0.4907301,0.9997032,0.9996726,0.9997466,0.9662617,0.2812128
120,10.76,0.000500,0.0000120,0.0000060,0.0001023,0.0000420,0.0000667,0.0010534,0.0015672,0.0014868,0.0024766,0.0411638,0.4895546,0.9995965,0.9995186,0.9995744,0.9623692,0.2791468
121,10.77,0.000250,0.0000033,0.0000016,0.0000300,0.0000112,0.0000261,0.0003068,0.0009105,0.0008828,0.0012440,0.0397033,0.4920663,0.9998714,0.9998491,0.9998974,0.9684312,0.2815645
122,10.77,0.000250,0.0000047,0.0000027,0.0000229,0.0000136,0.0000234,0.0004136,0.0009638,0.0009069,0.0012047,0.0389272,0.4927256,0.9998671,0.9998413,0.9999119,0.9701123,0.2818178
123,10.76,0.000250,0.0000090,0.0000051,0.0000336,0.0000263,0.0000322,0.0008359,0.0014442,0.0012314,0.0020643,0.0384698,0.4930725,0.9997359,0.9997076,0.9997418,0.9707471,0.2825756
124,10.76,0.000250,0.0000027,0.0000011,0.0000173,0.0000109,0.0000181,0.0002835,0.0007635,0.0007804,0.0009672,0.0385460,0.4935220,0.9999173,0.9998906,0.9999466,0.9710797,0.2836280
125,10.76,0.000250,0.0000047,0.0000027,0.0000336,0.0000131,0.0000183,0.0003860,0.0010909,0.0010762,0.0012857,0.0385422,0.4938923,0.9998541,0.9997733,0.9998971,0.9715052,0.2836225
126,10.77,0.000250,0.0000044,0.0000024,0.0000213,0.0000152,0.0000184,0.0003151,0.0011755,0.0011079,0.0016191,0.0383909,0.4939812,0.9998287,0.9997760,0.9998227,0.9715165,0.2838762
127,10.78,0.000250,0.0000044,0.0000024,0.0000320,0.0000137,0.0000186,0.0003647,0.0008644,0.0010118,0.0011868,0.0375390,0.4944057,0.9998884,0.9998252,0.9999149,0.9727163,0.2851014
